Number;Name;Sub area;Collection type;Fills in (days);Max days between emptyings
476;Cattepoelseweg 170/196;Alteveer/Cranevelt;Dynamic;51,5;0
1241;Pachterwaard thv 43;Schuytgraaf-Zuid;Dynamic;5,5;0
1954;Populierstraat 2 zijkant;Arnhemse Allee;Dynamic;8,4;0
944;Fridtjof Nansenstraat 55;Rijkerswoerd Midden;Dynamic;9,4;0
182;Van Nesstraat 100 - 130;Presikhaaf III;Dynamic;3,1;0
2062;Paasberglaan 37 zijkant;Paasberg;Dynamic;21,7;0
1985;IJssellaan 13;Presikhaaf I;Dynamic;8,5;0
1797;Ida Gerhardtstraat  82;Rijkerswoerd Oost;Dynamic;3,5;0
1642;Augustijnstraat 11 schuin voor in gazon;Monnikenhuizen;Dynamic;10,5;0
1595;Beethovenlaan 100;Alteveer/Cranevelt;Dynamic;14,6;0
2455(*);CL1196;Schuytgraaf-Zuid;Dynamic;5;0
617;Utrechtseweg 215 - 229;Klingelbeek;Dynamic;9,4;0
1215;Waterlelielaan 28 overzijde;Immerloo I;Dynamic;2,5;0
188;Keulse Slag 54;Presikhaaf III;Dynamic;5,2;0
1361;Dordrechtweg 14;Elderveld Noord;Dynamic;5,1;0
2148;Rijnkade 143;Weverstraat;Scheduled;10,6;0
170;Van Borselenstraat 2-56;Presikhaaf III;Dynamic;6,5;0
969;Koningskers t/h No, 54-138;Schuytgraaf-Noord;Dynamic;6,7;0
2587;Kronenburgsingel;Kronenburg;Dynamic;;1
2158;Gele Rijdersplein 3-6;Rijnstraat;Scheduled;3,7;0
2467(*);Schipbrug;;Dynamic;5;0
1770;Aagje Dekenstraat 15;Rijkerswoerd Midden;Dynamic;9,3;0
1660;Garde grenadiers 19;Klarenbeek;Dynamic;34,7;0
1443;Baakhovenstraat thv 4 zijkant;De Laar Oost;Dynamic;6,8;0
1482;Utrechtseweg thv 290;Lombok;Dynamic;12,2;0
1095;Lijsterstraat t,h,v, 18;Onder de Linden;Dynamic;7;0
461;Kluizeweg / Schelmseweg;Alteveer/Cranevelt;Dynamic;6,1;0
702;Kamillelaan t,h,v, 42;Kamillehof;Dynamic;4,3;0
879;Halsterenstraat t/h No, 143;De Laar West;Dynamic;6,4;0
771;Kleefseplein 241-455;Immerloo II;Dynamic;6;0
1135;Het Karrewiel 43;Schuytgraaf-Noord;Dynamic;5,5;0
2131;Hoogstraat 10 achterzijde;Weverstraat;Scheduled;2,5;0
1969;Kramersgildeplein 1;Winkelcentrum;Dynamic;5;0
59;Boulevard heuvelink t/o No, 24-26 (Armafa);Boulevardwijk;Dynamic;7,6;0
602;Noordelijke Parallelweg  45;Brouwerijweg e,o,;Dynamic;8,4;0
535;Monnikensteeg 1/1 - 1/23;Klarenbeek;Dynamic;5,4;0
1423;Zeelandsingel 98;De Laar Oost;Dynamic;4,7;0
1381;Wormerveerstraat thv 10;Elderveld Noord;Dynamic;5,3;0
445;Wellensteinlaan 15;Paasberg;Dynamic;7,5;0
440;Kloosterstraat 135-181;Paasberg;Dynamic;16,6;0
1192;Wikkestraat  62 overzijde;Zeegsingel e,o,;Dynamic;2,9;0
478;Tiendweg 4;Geitenkamp;Dynamic;4,5;0
2449(*);Goud thv nr 2 (kruising met Titanium);Schuytgraaf-Centrum;Dynamic;4,4;7
499;Van Speykstraat 1 - 57;Presikhaaf III;Dynamic;3,5;0
9020;J.P. Heijestraat;Onder de Linden;Scheduled;0;1
1034;Nijhoffstraat t/o 189;St, Marten;Scheduled;0;0
1032;St, Marten No, 3-5;St, Marten;Scheduled;0;0
341;Rappardstraat No, 14-16;Klarendal Zuid;Dynamic;3,4;0
1650;Roekenstraat 24;Monnikenhuizen;Dynamic;9,7;0
1454;Venlosingel 267;De Laar Oost;Dynamic;4,7;0
